"X","Y"
"705","5.5"
"113","97"
"1124.5","120"
"286","731.5"
"745.5","645"
"680","223.5"
"157.5","45"
"790.5","60"
"44.5","430.5"
"683.5","224"
"352","479"
"720.5","400"
"175","580.5"
"66","573.5"
"108","214.5"
"948.5","601"
"519","552.5"
"776.5","547.5"
"864","500"
"48","766.5"
"56.5","548"
"708.5","70"
"28.5","315"
"980.5","719"
"229","201.5"
"981","188"
"705","731.5"
"383.5","184.5"
"455.5","483"
"1097.5","77"
"780.5","386.5"
"98.5","565"
"940.5","662"
"772.5","387"
"997","671"
"489","601"
"298","577"
"828","724.5"
"372","773"
"885.5","418"
"827","233"
"194","17"
"516","320"
"67","293"
"586.5","521"
"508","605"
"818","511.5"
"766.5","541.5"
"1022.5","353.5"
"909.5","395"
"774.5","216"
"961","214.5"
"1060","262"
"269.5","298"
"911","36"
"1122.5","141.5"
"420","28.5"
"424","537"
"218.5","668"
"660","717"
"662","151.5"
"256","273.5"
"300.5","410.5"
"411.5","523"
"412.5","190.5"
"678","307.5"
"812.5","277"
"358","386"
"65","181.5"
"850","718.5"
"414","216"
"562","223"
"281.5","318.5"
"675.5","144"
"667","731"
"52","748"
"406.5","89.5"
"160.5","749"
"792.5","670"
"294.5","784"
"752.5","86.5"
"365.5","654.5"
"712","496.5"
"873","564.5"
"791","222"
"913","113.5"
"379","238"
"549","258"
"585","674.5"
"139.5","331.5"
"1028","46.5"
"319","680"
"846.5","653.5"
"661.5","731"
"661.5","483"
"917.5","636.5"
"364","788"
"466","771.5"
"110","739.5"
"655.5","103"
"251","259.5"
"919.5","476"
"283.5","330.5"
"24.5","689"
"1035","164"
"62","349.5"
"15","587.5"
"191","77"
"562.5","349.5"
"50","277.5"
"266.5","278"
"827.5","31"
"707","452"
"459.5","760"
"355","144"
"154.5","719"
"175","739"
"115.5","17"
"677.5","581"
"1117.5","5"
"227","220.5"
"433.5","331.5"
"415","108.5"
"419","692"
"362","746"
"280","423"
"762","81"
"962","94.5"
"774","698.5"
"682","476.5"
"431.5","292.5"
"1089.5","134.5"
"349","8"
"359","45"
"717.5","396.5"
"519","451.5"
"782.5","26"
"698.5","78"
"571.5","739"
"864","673.5"
"535","292.5"
"806.5","559.5"
"1080.5","276"
"955.5","554.5"
"613.5","595"
"340","226.5"
"685","270.5"
"650.5","376.5"
"59.5","775.5"
"1003","167"
"707.5","491"
"850.5","216.5"
"532","656.5"
"836","175.5"
"4.5","591"
"689.5","719.5"
"59.5","381"
"712.5","241"
"293","232"
"579.5","287.5"
"887.5","121"
"974","16"
"242.5","564.5"
"388","521"
"292","748.5"
"775","259"
"629","580"
"66.5","497"
"220","343.5"
"880.5","425.5"
"923.5","705"
"700.5","334.5"
"821.5","505.5"
"122.5","58"
"430","612.5"
"996.5","59.5"
"943.5","461"
"1039.5","669.5"
"593","611"
"815.5","670"
"633","55.5"
"965","661"
"779","419.5"
"202","529"
"735","696.5"
"627.5","396"
"391.5","690.5"
"493.5","104.5"
"1029","623.5"
"284.5","440.5"
"148.5","2"
"553.5","549"
"352","245"
"670","130"
"224","794"
"540","245"
"564","281.5"
"205.5","50.5"
"80.5","185.5"
"629","54"
"91","747"
"413.5","434"
"612.5","327"
"53","761"
"26.5","91.5"
"704.5","306"
"1040","103.5"
"249.5","219"
"782","693.5"
"163.5","208.5"
"867.5","112"
"3","156.5"
"814","487"
"216","695.5"
"581","405.5"
"94","169"
"66","446.5"
"865","440"
"1000","339.5"
"471","47.5"
"566","415"
"135.5","282.5"
"551.5","215.5"
"728.5","50.5"
"34","799.5"
"1006.5","170"
"913","657.5"
"555.5","639"
"493","489.5"
"750.5","483.5"
"1066.5","237"
"301","729"
"198.5","742.5"
"931.5","349.5"
"757.5","267.5"
"37.5","724"
"892","154.5"
"645.5","202"
"304.5","289"
"942","581"
"387","276.5"
"33.5","425.5"
"436.5","470"
"167.5","763.5"
"527","671.5"
"485","480.5"
"161","272"
"244.5","588"
"712.5","361"
"296","95.5"
"377.5","742.5"
"649.5","107.5"
"338.5","234.5"
"290.5","266.5"
"125","150"
"194","80.5"
"673.5","427.5"
"57","158.5"
"381","392"
"225.5","198.5"
"284.5","242.5"
"930.5","471.5"
"126","266"
"57","601.5"
"814.5","205"
"513.5","719.5"
"155.5","728"
"135.5","82"
"113.5","2"
"698","778.5"
"249","212"
"65","493"
"13.5","53"
"642.5","13"
"99.5","157"
"364","780"
"565","261.5"
"1037","156"
"70","744.5"
"448","117.5"
"139","19.5"
"105.5","271"
"41","660"
"467","784"
"40","524.5"
"187.5","277.5"
"32.5","44"
"525","40"
"384","404.5"
"199","178"
"349","372.5"
"154","593"
"126.5","427.5"
"743","15.5"
"742","224.5"
"639","442"
"622.5","175"
"540.5","762.5"
"158.5","237"
"666","400"
"726.5","343.5"
"72.5","233"
"923.5","495"
"212.5","519"
"699.5","163"
"899.5","57"
"962","319.5"
"798","233.5"
"980.5","178"
"886.5","347.5"
"56","558.5"
"1019.5","185.5"
"319","717"
"631.5","334"
"94","356"
"2","745"
"59.5","244"
"990.5","646.5"
"584","683"
"876.5","272.5"
"903","331"
"977.5","190"
"305.5","621.5"
"649","775.5"
"680","222"
"341","555"
"310.5","160.5"
"571","528.5"
"213","159.5"
"328","663"
"351","793.5"
"188","417"
"632.5","315"
"2","608"
"392","616"
"798.5","241.5"
"23","738"
"184.5","636"
"139","477"
"888.5","568.5"
"935","276"
"549","598"
"578","573.5"
"735.5","112.5"
"30","68"
"975.5","136"
"743.5","746.5"
"478.5","56"
"640","4"
"849","445.5"
"595.5","443"
"531","378.5"
"428","318"
"765","51"
"403","116"
"592.5","291"
"249.5","225"
"1060","245"
"7","162.5"
"10","481.5"
"307.5","477.5"
"138","543.5"
"470.5","607"
"792","558.5"
"20.5","712"
"28","397.5"
"887.5","195"
"436.5","669.5"
"704.5","9"
"894.5","524"
"656","64"
"597","206.5"
"448.5","442.5"
"34.5","740"
"377","151.5"
"140.5","488.5"
"258.5","313"
"168","128"
"776.5","203.5"
"1130","122.5"
"287.5","178.5"
"20","200.5"
"264","60"
"738.5","156.5"
"713","292.5"
"646.5","449"
"821","610.5"
"935","492.5"
"370.5","0.5"
"818","637.5"
"355.5","564.5"
"783","479"
"627.5","713"
"820.5","301.5"
"727","122"
"87","796.5"
"255","29"
"542","773"
"217.5","20"
"502","489"
"191.5","702.5"
"737.5","684"
"400.5","127"
"658","377"
"435","615.5"
"849","78.5"
"556","712.5"
"46","145.5"
"396.5","351.5"
"295","287"
"100","521"
"836","739.5"
"593.5","705"
"656","570"
"329.5","83.5"
"631","337"
"172","362.5"
"427","558.5"
"65.5","74"
"903.5","157.5"
"730","529.5"
"875","710.5"
"907","170.5"
"124.5","66.5"
"151.5","383.5"
"343.5","445.5"
"394","395"
"109.5","485"
"781","146.5"
"694","637.5"
"845.5","516"
"768","558.5"
"705","766"
"685","49"
"593.5","559"
"371","507"
"428.5","436"
"934.5","501.5"
"528","390.5"
"534.5","457"
"1073","95.5"
"442","215.5"
"761","303"
"241","322"
"452.5","651.5"
"659.5","194.5"
"130.5","630"
"464.5","122.5"
"327","22.5"
"220.5","618.5"
"701.5","666"
"293.5","713"
"200","29.5"
"185","207.5"
"628.5","229.5"
"673","441.5"
"998.5","304"
"392","716"
"388.5","203"
"503","799.5"
"848.5","622.5"
"534","730"
"507","14.5"
"856.5","135"
"197.5","403"
"373.5","334"
"1086.5","205.5"
"130","178.5"
"403","696"
"827","388.5"
"781","612"
"354.5","750.5"
"750.5","685.5"
"673.5","253"
"241","362"
"656.5","243.5"
"799","678.5"
"47","79"
"559","263"
"712","490.5"
"40","527"
"361","510.5"
"474.5","430.5"
"647","661"
"1002.5","379.5"
"248","254.5"
"418","616.5"
"1.5","744.5"
"399","663"
"177.5","775"
"925.5","24.5"
"473","660.5"
"843.5","77.5"
"733","45.5"
"681","77"
"664.5","336"
"935.5","12.5"
"1020","191.5"
"591.5","599.5"
"471.5","536.5"
"56.5","163"
"197","98"
"346.5","513.5"
"139.5","96"
"1112.5","169.5"
"883.5","467.5"
"139.5","756"
"359.5","768.5"
"877.5","357.5"
"438.5","66"
"735","479.5"
"355.5","361"
"11.5","611.5"
"656.5","781.5"
"1072","7.5"
"290","561.5"
"781","173.5"
"39","394"
"552","468"
"112.5","601.5"
"995","280"
"381","507.5"
"860","256"
"344","700"
"796","111.5"
"951.5","60.5"
"431.5","639"
"518","246.5"
"751.5","499.5"
"94.5","289.5"
"4","672.5"
"587","614.5"
"31","221"
"830.5","586"
"860.5","442"
"369.5","347"
"316.5","463"
"1023","73"
"912.5","614.5"
"512","318"
"720","296.5"
"857","110.5"
"19","298"
"924","544.5"
"25","402.5"
"329.5","649"
"124","518.5"
"568.5","491.5"
"743.5","676"
"533.5","611"
"915.5","321.5"
"13","533"
"164","76"
"876","542"
"854","672.5"
"1016.5","621.5"
"60","419"
"9","629.5"
"309","573.5"
"735","327"
"555","465.5"
"1054","63"
"340.5","37.5"
"595","423.5"
"802","740"
"517.5","323.5"
"660.5","404.5"
"533.5","320.5"
"663","373"
"286","661"
"591.5","589"
"660","158"
"273.5","273"
"873.5","632"
"910","411"
"283","596.5"
"301.5","676"
"114","705.5"
"366.5","8"
"682.5","465"
"408","521.5"
"51.5","709.5"
"274","405.5"
"377.5","147"
"829","738"
"941.5","430.5"
"958","2"
"543.5","592"
"405","390.5"
"148.5","202"
"305","549.5"
"547","261.5"
"183","523"
"142.5","786"
"441.5","347"
"440","341"
"987","714"
"150","207.5"
"408.5","362.5"
"759","472.5"
"597","236.5"
"216","329.5"
"239","359.5"
"202","374"
"74","672"
"222.5","715.5"
"28.5","36.5"
"821.5","142.5"
"911","152.5"
"963","98"
"54","320"
"225","37"
"422","753.5"
"156.5","325"
"860.5","647"
"561.5","41"
"819.5","609.5"
"0.5","469.5"
"347","317.5"
"266.5","750"
"659.5","513.5"
"534","567.5"
"62","47.5"
"964.5","260.5"
"543.5","535.5"
"756.5","30.5"
"304.5","588"
"267.5","700.5"
"30","614.5"
"225","246.5"
"84.5","214.5"
"56","440.5"
"883.5","3.5"
"213","394"
"431.5","779"
"679","25.5"
"611.5","635"
"1070","175"
"234.5","213.5"
"620.5","593.5"
"319.5","770"
"728.5","645"
"86","4.5"
"762.5","193"
"762","262"
"779.5","550.5"
"989.5","42.5"
"104.5","318.5"
"449","117"
"398","601.5"
"121","758.5"
"648","318"
"839.5","662.5"
"226.5","558.5"
"272.5","3.5"
"198.5","551.5"
"711","692.5"
"159","769"
"793.5","750.5"
"728","92.5"
"31","58.5"
"599.5","258.5"
"716","579.5"
"231","78.5"
"126.5","210"
"468.5","405"
"559","437"
"907","727.5"
"344.5","575"
"635.5","217.5"
"832","75"
"383.5","2"
"804","168"
"831.5","676"
"658","348.5"
"725","32.5"
"159.5","553"
"292.5","328.5"
"396.5","661.5"
"50","519"
"539.5","22.5"
"735.5","603.5"
"685.5","651.5"
"957.5","349"
"600","669"
"761","648.5"
"916","383.5"
"225","189"
"336.5","645"
"745.5","196.5"
"119","103"
"461","519"
"992.5","711"
"681.5","122.5"
"964.5","10"
"970.5","30.5"
"549","429.5"
"29.5","722"
"979","396.5"
"503.5","113.5"
"838","138.5"
"208","33.5"
"874.5","511"
"15","339"
"574.5","158.5"
"652","724.5"
"601.5","593.5"
"512.5","63"
"407","625"
"737","446.5"
"847","518"
"855","670"
"223.5","194"
"33","393"
"1132.5","127"
"395.5","471"
"92.5","694"
"765.5","391"
"1064","61.5"
"584.5","235"
"413.5","551"
"830","47"
"114.5","539.5"
"453","614.5"
"946","713.5"
"12.5","303"
"93.5","366"
"916.5","281"
"617","797"
"31.5","165.5"
"559.5","374.5"
"584","197"
"41.5","540.5"
"212","14"
"114","92"
"252","39.5"
"782","339.5"
"222","315"
"839","64.5"
"234.5","49"
"212.5","546"
"998.5","4.5"
"769.5","64.5"
"422","553.5"
"997","125"
"771.5","492"
"996","148"
"896.5","722"
"874","636"
"12.5","106.5"
"761.5","647"
"334.5","440.5"
"833.5","41.5"
"684","495.5"
"209.5","245.5"
"479","399"
"788","543.5"
"1059","145"
"382.5","291.5"
"136","723.5"
"614.5","133"
"14","327"
"491.5","596.5"
"994","671.5"
"765","216.5"
"539.5","793"
"0","100"
"465","428"
"454","658"
"204","673"
"196.5","108"
"922.5","166.5"
"554.5","231.5"
"372.5","118"
"778.5","517.5"
"110.5","678.5"
"490","713"
"655.5","719"
"318.5","552.5"
"593.5","735.5"
"638.5","210"
"733.5","135.5"
"743","694.5"
"477.5","69.5"
"850","708"
"333.5","280.5"
"664","161.5"
"708.5","409.5"
"531","618.5"
"104","443"
"505.5","585"
"61","568.5"
"896","453.5"
"864","47"
"148","372"
"648.5","426"
"63","265"
"300.5","337"
"137","503"
"367","7.5"
"995","39.5"
"147.5","350"
"52.5","72"
"455.5","543"
"621.5","84.5"
"657","151"
"419","172"
"717","149.5"
"347","653.5"
"853","393"
"267","265"
"701.5","2.5"
"187.5","45"
"930","121"
"663.5","269.5"
"81.5","82.5"
"292.5","388"
"366.5","530.5"
"383.5","398.5"
"308.5","738.5"
"651","671"
"248.5","617"
"84.5","171.5"
"630","484"
"434","667.5"
"138","342"
"822.5","197.5"
"610.5","600.5"
"562","179.5"
"683.5","416"
"84","328.5"
"274","265"
"801","4"
"790","271"
"526.5","730.5"
"107.5","733.5"
"992.5","249.5"
"8.5","372"
"963","180"
"579","393"
"824.5","222.5"
"490","523.5"
"962.5","164.5"
"252.5","234.5"
"395","721.5"
"221","608.5"
"0.5","364"
"709","325"
"401","62"
"245.5","608"
"60","254"
"166","377"
"458.5","546.5"
"642","577.5"
"359","478"
"108","287.5"
"1008","676.5"
"69.5","117.5"
"1057.5","214.5"
"41","62.5"
"258","190"
"561","281.5"
"134","434.5"
"223.5","231.5"
"549.5","623"
"467.5","430.5"
"382.5","350"
"685","594.5"
"112","343.5"
"654","272"
"877","591.5"
"476.5","60.5"
"1025.5","122.5"
"298","674.5"
"88.5","486"
"365.5","159"
"800.5","78.5"
"447.5","428.5"
"297.5","209.5"
"666","580"
"528","300.5"
"484","363.5"
"885","348"
"544","520"
"898.5","259"
"121.5","131.5"
"856","601.5"
"46.5","539.5"
"722.5","497.5"
"679","492.5"
"712.5","668"
"984","95"
"389.5","233"
"41","370"
"0","289"
"350","285.5"
"762.5","102"
"109","80"
"775.5","76.5"
"38.5","237"
"578.5","345"
"693.5","157"
"578.5","577.5"
"628","61.5"
"678.5","278"
"695.5","39"
"81.5","37"
"439","503"
"703","232.5"
"862","193.5"
"358.5","385"
"119.5","606"
"349.5","595"
"455","0.5"
"520.5","60"
"1024.5","617.5"
"246","723.5"
"457.5","80"
"264","16.5"
"375.5","570.5"
"855.5","320"
"265","759.5"
"965.5","425.5"
"861.5","452"
"435","288"
"265","185"
"787","89"
"469","63"
"689.5","147"
"166.5","795"
"352.5","202.5"
"355","698.5"
"223","582.5"
"913","317.5"
"465.5","401.5"
"928.5","28"
"265","309"
"249.5","651.5"
"658","56.5"
"527.5","249"
"56","69.5"
"1051.5","34.5"
"86.5","158.5"
"297.5","371"
"99","295"
"762.5","519"
"226","24.5"
"277","613"
"1019.5","1"
"658","382.5"
"364.5","276"
"932.5","593.5"
"763","595"
"45.5","129.5"
"54","3.5"
"841.5","337.5"
"189.5","50"
"1094","236.5"
"655","151.5"
"734.5","404.5"
"436","342.5"
"876.5","576"
"629.5","684.5"
"42.5","693"
"776.5","746"
"447.5","3"
"758","658"
"40","82.5"
"1010","194.5"
"117.5","740.5"
"892.5","469.5"
"610","488.5"
"780","684.5"
"672","417.5"
"195.5","793"
"676","255.5"
"46","202"
"103.5","504.5"
"903.5","309"
"646.5","452.5"
"63.5","593"
"34","231.5"
"82.5","741"
"62.5","669"
"247.5","134.5"
"816.5","486.5"
"248.5","789"
"138.5","582.5"
"313.5","523.5"
"141.5","555.5"
"489","39.5"
"60","564"
"222","357"
"223.5","766"
"472.5","546"
"77.5","183.5"
"363.5","184"
"1056","195.5"
"257.5","433"
"127","506.5"
"927.5","13"
"642.5","357"
"420.5","415.5"
"730","509"
"55","599"
"958","566"
"228.5","16"
"774.5","130"
"397","199"
"66","584.5"
"279","416.5"
"370.5","602"
"713","221.5"
"877.5","564.5"
"838","330.5"
"1092.5","157.5"
"595","685.5"
"363.5","510"
"185.5","374.5"
"111","273"
"517","624.5"
"679.5","45"
"243.5","229.5"
"906","46"
"536","285"
"610","277"
"133.5","439"
"947.5","376"
"788.5","606.5"
"439.5","736"
"197.5","538.5"
"173","629"
"644.5","198.5"
"780.5","573"
"185","374"
"823.5","302"
"732.5","529"
"998.5","215"
"644","420.5"
"896.5","578.5"
"123","598.5"
"542.5","370.5"
"652","627"
"99","648"
"723.5","256.5"
"778.5","734"
"770","34"
"173.5","248.5"
"271","433"
"753.5","559"
"736.5","506"
"1026","363.5"
"508.5","473"
"697.5","128.5"
"235.5","297.5"
"56","58.5"
"608.5","301"
"981","23.5"
"642.5","463.5"
"385.5","242"
"829.5","681"
"643.5","671.5"
"761.5","287.5"
"318","57"
"233.5","552.5"
"570.5","745.5"
"80.5","598.5"
"507.5","619"
"568.5","595.5"
"64","585"
"537.5","313.5"
"1019.5","10.5"
"683","521.5"
"397","254"
"489","347.5"
"757","302"
"1079","147"
"801","562"
"261.5","305.5"
"713.5","270.5"
"74.5","683.5"
"818","542.5"
"23","50.5"
"26","621.5"
"132","338"
"1107.5","237"
"103.5","689"
"752","29.5"
"107.5","757.5"
"561","371"
"234.5","764"
"364.5","106.5"
"199","110.5"
"571","790"
"783.5","212.5"
"716.5","770.5"
"733.5","491"
"894","373.5"
"856.5","227"
"799.5","360.5"
"283.5","662"
"675.5","415"
"303.5","27"
"1042","32"
"991.5","226.5"
"228.5","674"
"353.5","97"
"468","778"
"164.5","470"
"726.5","379"
"777","475.5"
"932","463.5"
"219","650.5"
"463.5","487.5"
"330","459.5"
"383","751.5"
"894.5","262"
"1.5","681.5"
"405","124.5"
"679.5","786"
"192.5","292"
"370","167.5"
"244","646"
"33","50"
"38.5","494.5"
"567.5","441"
"117","20.5"
"354","215"
"25.5","10"
"985","317"
"439","350"
"656.5","598.5"
"427","129"
"380.5","608.5"
"991.5","630.5"
"214.5","606"
"142.5","762.5"
"78.5","309.5"
"799.5","127"
"887.5","303.5"
"807","315.5"
"93.5","709"
"463.5","686.5"
"795.5","673.5"
"876","408.5"
"823.5","446.5"
"521.5","701.5"
"425.5","520.5"
"721","165"
"635.5","180"
"900.5","386.5"
"515.5","516"
"631","22"
"87","748"
"357","772.5"
"816.5","704.5"
"306","18.5"
"448","90.5"
"407.5","56.5"
"887","280.5"
"16.5","772"
"1064.5","250.5"
"529.5","18.5"
"920","640.5"
"893","315"
"908","583"
"538.5","370.5"
"958.5","367"
"570","419.5"
"727.5","105"
"655","94.5"
"548","407"
"554","686"
"596","392"
"233","24"
"1091","226"
"546","785.5"
"619.5","197.5"
"1040","113"
"10.5","280.5"
"682","696"
"601","480.5"
"924","226"
"845.5","581"
"675","357"
"600","479"
"187","11.5"
"327.5","160"
"17.5","163"
"821","128.5"
"853","250.5"
"206.5","362"
"881.5","424"
"567.5","592.5"
"435","455.5"
"620","668"
"309.5","258.5"
"650","358.5"
"215.5","641"
"844","27.5"
"945.5","692.5"
"276.5","592"
"282.5","422.5"
"84.5","642.5"
"670","127.5"
"664.5","370.5"
"457","174.5"
"64","167"
"834","238.5"
"501.5","75.5"
"421","309"
"713","489"
"914.5","69.5"
"664","118.5"
"815.5","662"
"111.5","381"
"697.5","363"
"112.5","581.5"
"735","756.5"
"603","253.5"
"923","40"
"698.5","583.5"
"275","229"
"812.5","218"
"376","336.5"
"889","147.5"
"1092","256"
"208.5","672.5"
"720.5","771.5"
"243.5","548.5"
"828","727"
"14.5","723.5"
"305","483"
"485","300.5"
"188.5","581"
"836.5","313"
"952.5","13"
"50","760.5"
"892","627.5"
"991","215.5"
"945","339"
"346.5","95"
"576","532.5"
"630.5","73"
"722.5","477.5"
"302","86"
